;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;
Viber ;"« Viber utilise Google Analytics pour procéder au suivi anonyme et au reporting des informations de comportement des utilisateurs/visiteurs et des informations standard des journaux des utilisateurs du Site et de Viber App. Ces informations (y compris : adresse IP, stockage des données, services de maintenance, gestion de base de données, analytique Web et traitement des informations) nous aident à analyser et évaluer l'utilisation de l'application et du Site Viber dans le cadre de nos efforts constants à améliorer le Site et les fonctions et services de l'application Viber. Aucune donnée d'identification personnelle n'est incluse dans ce type de reporting. Google Analytics pourra avoir accès à vos informations uniquement pour ces tâches et pour le compte de Viber en respectant des obligations similaires à celles de la présente Politique de confidentialité. Pour plus d'informations sur les termes qui régissent Google Analytics, consultez les Termes de service de Google Analytics.

Nous n'utiliserons jamais (et n'autoriserons jamais aucune tierce partie à le faire) l'outil d'analyse statistique pour suivre ou collecter les Informations personnelles des visiteurs ou utilisateurs. Google n'associera votre adresse IP à aucune autre donnée détenue par Google. Ni Viber ni Google n'essaiera d'établir un lien entre une adresse IP et l'identité d'un utilisateur. Nous n'associerons aucune donnée obtenue sur ce site à aucune Information identifiable depuis aucune source, à moins que vous ne soumettiez de manière explicite ces informations dans un formulaire à compléter sur notre site Web.

Si vous ne souhaitez pas que ces informations figurent parmi les informations statistiques rassemblées, vous pouvez désactiver Google Analytics depuis les paramètres de l'application. Dans l'écran 'More', appuyez sur 'settings', puis désactivez l'option Google Analytics Collect Data. ». Il faut noter que cette application est pré programmée et que c'est à l'utilisateur de l'enlever s'il ne souhaite pas qu'elle lui soit appliquée. Il ne semble pas que son consentement lui soit explicitement demandé.";"« Une copie des numéros de téléphone et noms de votre carnet d'adresses (mais pas les e-mails, notes et autres Informations personnelles) sera conservée sur nos serveurs et sera utilisée pour :
(a) vous avertir lorsque vos contacts deviennent actifs sur Viber,
(b) vous indiquer lesquels de vos contacts utilisent déjà Viber,
(c) afficher correctement le nom de chaque contact tel qu'il apparaît dans votre carnet d'adresses lorsque vous recevez un appel.
(d) synchroniser vos contacts avec Viber exécuté sous Windows, Mac OS X, Linux, sur des tablettes Android, iPads et des tablettes Windows.
 
Viber conserve également un Enregistrement détaillé des appels (voir http://en.wikipedia.org/wiki/Call_detail_record) pour chaque message et appel passant par le système. Il s'agit d'enregistrements standard utilisés par tous les opérateurs téléphoniques. Nous conservons ces informations dans le but de mieux comprendre le comportement et les tendances du réseau (nombre de messages et appels des utilisateurs, destinations les plus courantes, durée des appels, type de réseau, etc.), détecter les coupures et problèmes techniques potentiels (ceci nous aide à détecter une chute brutale du volume d'appels dans une certaine zone, un changement dans la durée des appels, l'adoption de nouveaux réseaux, etc.) et à des fins de sécurité. Toutes les activités d'analyse des journaux sont menées de façon anonyme, agrégée et non identifiable personnellement. Nous pouvons étudier un Enregistrement détaillé des appels sur demande d'un client. Nous les conservons 30 mois maximum. »";;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;"

(dans data policy)  « Nous
tirons parti de toutes les informations à notre disposition pour fournir nos
services et maintenir leur qualité […]

vous proposer nos services, de personnaliser nos contenus et de vous faire des suggestions
[…] 

vous proposer divers raccourcis et suggestions […]

Lorsque nous disposons d'informations de localisation, nous les utilisons pour
adapter nos Services pour vous et les autres utilisateurs […] 

Nous utilisons vos informations pour vous envoyer des communications
commerciales, vous parler de nos services et vous faire part de nos conditions
générales et de nos règlements. Nous nous servons également de vos informations
pour vous répondre lorsque vous nous contactez […] 

améliorer nos systèmes de publicité et de mesure […]

effectuer une vérification des comptes et des activités des utilisateurs, et
pour garantir la sécurité à travers comme en dehors de nos services […] 

Nous utilisons des cookies et d’autres technologies similaires pour fournir nos
services […] 

Lorsque vous avez recours à des applications, à des sites web ou à d’autres
services tiers qui utilisent nos services ou qui y sont intégrés, ces derniers
peuvent recevoir des informations sur ce que vous publiez ou partagez […] 

Partager avec des partenaires tiers et des clients […]

Nous collaborons avec des prestataires de service
qui nous aident à fournir et à améliorer nos services, ou qui utilisent nos
services publicitaires ou autres produits similaires […] »                                                                         Si les finalités ont l'air diverses, la clause mentionne à chaque fois la fourniture de service ou son amélioration. Cela semble être une manière de réduire la portée des finalités MAIS si l'on s'en tient au texte, cela ne concerne QUE la fourniture et l'amélioration.     ";;;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;;« Toutes les données à caractère personnel transmises par le Membre dans le cadre de l'utilisation du Site et du Service sont recueillies légalement et loyalement. Elles ont pour finalité l'utilisation du Site et la fourniture du Service et peuvent donc être utilisées par APVO à cette fin. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;;"« Skype recueille de nombreux types d'informations pour garantir un fonctionnement efficace et vous proposer les meilleurs produits et expériences possibles. »
 
 « Skype utilise les informations que nous recueillons pour faire fonctionner, améliorer et personnaliser Skype et les autres logiciels, produits et fonctionnalités Microsoft. »
 
 « Nous pouvons également utiliser ces informations pour communiquer avec vous, par exemple, pour vous informer de la fin d'un abonnement, de la disponibilité de mises à jour de sécurité, de la nécessité d'effectuer une action pour que votre compte reste actif ou pour organiser et mettre en œuvre des opérations/offres marketing ou promotionnelles, des concours, des jeux et des événements similaires. »";;;;;;;;;;;;;;;;;;;;;;;;;;;
Google ;;;"« Les données que nous collectons nous permettent de fournir, gérer, protéger et améliorer nos services, d'en développer de nouveaux, et de protéger aussi bien nos utilisateurs que nous-mêmes […] de vous proposer des contenus adaptés et personnalisé, tels que des résultats de recherche personnalisés, des publicités sur mesure, et la détection de spams et de logiciels malveillants. »
« afin de mieux résoudre les problèmes que vous rencontrez »
« pour vous offrir un meilleur confort d'utilisation et améliorer la qualité globale de nos services. »
« ou dans d'autres contextes commerciaux. » 
« Lorsque vous consultez des sites Web ou utilisez des applications qui font appel aux technologies développées par Google, nous pouvons être amenés à exploiter les informations qu'ils transmettent, notamment pour effectuer les opérations suivantes :
- accroître l'efficacité des annonces ;
- transmettre des rapports sur l'activité des annonces aux annonceurs et aux propriétaires des sites Web qui hébergent ces dernières, et garantir le paiement des éditeurs de ces sites ;
- aider les propriétaires de sites Web et d'applications qui utilisent Google Analytics à comprendre comment les visiteurs interagissent avec leurs sites Web ou leurs applications ;
- améliorer votre expérience Google+ ;
- déceler des activités frauduleuses et se prémunir contre celles-ci, ainsi que contre d'autres atteintes à la sécurité, en vue de protéger nos utilisateurs et nos partenaires ;
- respecter nos obligations légales   » 
J’ai fais le choix de la Licence +++ puisque que Google aide les propriétaires de site web à améliorer leur performance, et il y a un flou sur les données communiqués";;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;Utilisation de vos données personnelles pour surveiller et mettre en place des données statistiques relatives à l’utilisation;Utilisation de vos données personnelles : aux fins de fournir du contenu et des informations personnalisées, notamment pour diverses formes de marketing, pour améliorer l’efficacité du Service, pour le développement de nouveaux produits et fonctionnalités, pour la résolution des problèmes techniques, (…) mettre à jour l’application.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;«Enfin, nous pouvons utiliser vos données personnelles pour établir des statistiques internes de marketing, de profil consommateur ou de démographie (…) »;"Comment vos données personnelles peuvent-elles être utilisées ? Pour remplir des bons de commande, pour fournir une assistance sur nos jeux, (…) une assistance clientèle et technique, vous tenir au courant des nouveautés et améliorations, des concours éventuels, occasions et évènements spéciaux.
« Notre but est de mieux (…) servir nos clients »";;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;;« We use the information we collect to provide our products to you and make them better, develop new products, and protect Pinterest and our users. For example, we may log how often people use two different versions of a product, which can help us understand which version is better. We also use the information we collect to offer you customized content, including: Suggesting Pins or boards you might like. For example, if you’ve indicated that you’re interested in cooking or visited recipe websites that has Pinterest features, we may suggest food-related Pins, boards, or people that we think you might like. Showing you ads you might be interested in. Send you updates (such as when certain activity, like repins or comments, happens on Pinterest), newsletters, marketing materials and other information that may be of interest to you. For example, depending on your email notification settings, we may send you weekly updates that include Pins you may like. You can decide to stop getting these updates by updating your account settings (or through other settings we may provide). Help your friends and contacts find you on Pinterest. For example, if you sign up using a Facebook account, we may help your Facebook friends find your account on Pinterest when they first sign up for Pinterest. Or, we may allow people to search for your account on Pinterest using your email address. Respond to your questions or comments. The information we collect may be “personally identifiable” (meaning it can be used to specifically identify you as a unique person) or “non-personally identifiable” (meaning it can’t be used to specifically identify you). We use both types of information, and combinations of both types, as described above. We may use or store information wherever Pinterest does business, including countries outside your own. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dofus-Ankama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;La transmission de ces donne?es au sous traitant du Site situe? en dehors de l’Union Europe?enne n’est destine?e qu’au traitement des questions ge?ne?rales pouvant e?tre pose?es par les Utilisateurs (date de souscription ou de cre?ation du profil, date de paiement de l’abonnement, date de renouvellement et montants re?gle?s ou rembourse?s) et a? veiller au respect, par les membres du Site, de la le?gislation et des pre?sentes CGU.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agrégation des données;Pas d’agrégation;Agrégation DP avec données non personnelles;Agrégation avec l’ensemble des DP disponibles;;;;;;;;;;;;;;;;;;;;;;;;;;
Vine;;;Lors d'une connexion via à un autre réseau social (Facebook, Twitter, ...), Vine agrège les données avec celles disponibles sur le profil relié, utilise les données issues des répertoires afin de faire des suggestions et des recommandations.;;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;Il n'est pas fait mention d'agrégation dans les CGU. Il est donc possible d'imaginer que le service ne procède à aucune agrégation des DP. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;;;• A priori, sauf explicitation du contraire, l’agrégation se fait avec toutes les données disponibles sur et par Twitter : « Vous consentez à ce que cette licence comprenne le droit pour Twitter de fournir, de promouvoir et d’améliorer les Services et de mettre les Contenus publiés ou transmis au travers des Services à disposition d’autres sociétés, organisations ou individus en partenariat avec Twitter pour l’agrégation, la diffusion, la distribution ou la publication de ces Contenus sur d’autres supports, médias et services, dans la limite de nos conditions pour l’utilisation de ces Contenus. » + « Si vous connectez votre compte Twitter à un compte d’un autre service afin de faire des envois croisés, ledit service pourra nous communiquer vos informations de profil, de connexion, ainsi que toute autre information dont vous avez autorisé la divulgation. » • Cf. APIrules de Twitter;;;;;;;;;;;;;;;;;;;;;;;;;;
Snapchat;;;"- Snapchat peut communiquer des données agrégées ou anonymisées, pour par exemple voir, après l'ajout d'un nouvel ami Snapchatter, le lien qui unit les deux personnes.
- Si un autre utilisateur autorise Snapchat à collecter des informations à partir de son téléphone mobile, et que vous faites parti de ses contacts, il est possible que Snapchat combine les informations collectées .";;;;;;;;;;;;;;;;;;;;;;;;;;
Groupe LinkedIn;;;« Nous combinons les données au niveau interne à travers nos différents Services » Agrégation données LinkedIn, Pulse, Slideshare.;;;;;;;;;;;;;;;;;;;;;;;;;;
Tumblr;;;Ayant été racheté par Yahoo, les informations détenues par Tumblr peuvent être partagées avec ce site. Il est également possible d'accéder à des sites tiers en cliquant sur des liens externes menant aux principaux réseaux sociaux.;;;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM;;;Partenariat avec Twitter pour créer et autoriser les comptes des utilisateurs. L'utilisateur accepte les conditions d'utilisation des tiers. Possibilité de regrouper les listes de contacts de sites tiers.;;;;;;;;;;;;;;;;;;;;;;;;;;
Couchsurfing;;;"""We may also obtain information from other sources and combine that with information we collect through our Services. For example, if you create or log into your Couchsurfing account through a third-party social networking site, we will have access to certain information from that site, such as your name, profile picture, connections and other account information in accordance with the authorization procedures determined by such third-party social networking site.""";;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;Pas d'agrégation mentionnée;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;;« Valve est également susceptible de collecter des informations agrégées et individuelles. Les « informations agrégées » sont des informations qui décrivent les habitudes, tendances d'utilisation et données démographiques des utilisateurs en tant que groupe, mais ne décrivent ni ne révèlent l'identité d'un utilisateur donné. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viber ;« Nous ne mettons pas en relation les Informations personnelles, notamment les adresses e-mail, avec les données agrégées de nos utilisateurs. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;;"(dans data policy) « Nous tirons parti de toutes les informations à notre disposition
pour fournir nos services et maintenir leur qualité »

Or les informations collectées incluent bien sur des données à caractère personnelles (géolocalisation, adresse IP ou encore les messages privé pour ne citer que ces données).   Les associations et les suggestions que propose Facebook démontre en outre de l'aggrégation de toutes ces données";;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;;;« APVO reçoit les informations vous concernant de votre part et de la part de tierces parties et utilise ces informations afin de vous proposer nos services. »;« Nos serveurs enregistrent automatiquement les informations créées en utilisant nos services (« informations de session »). Les informations de session peuvent inclure des données telles que le type et la version de votre navigateur, votre système d’exploitation, votre adresse IP, le domaine de référence, les pages visitées et les termes recherchés. D'autres actions, telles qu’un clic sur une annonce publicitaire, peuvent également être incluses dans vos informations de session. »;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;;"« Une partie des informations proviennent d'autres sources, que nous pouvons combiner avec les données que nous recueillons directement. »
 
 « Nous utilisons différentes méthodes et technologies pour rassembler des informations sur la façon dont vous utilisez nos sites Web, nos logiciels et nos produits, par exemple :
  formulaires Web, comme lorsque vous tapez des informations dans un formulaire d'enregistrement ou une chaîne à rechercher dans un champ de recherche ; technologies, comme les cookies et les balises Web ; journalisation Web, qui nous permet de recueillir les informations standard que votre navigateur envoie pour chaque site Web que vous consultez (votre adresse IP, type de navigateur et langue, site de provenance), les pages que vous consultez et les liens sur lesquels vous cliquez lorsque vous utilisez nos sites Web et nos produits ; logiciel Skype installé sur votre appareil, qui peut renvoyer des informations. »";;;;;;;;;;;;;;;;;;;;;;;;;;;
Google ;;;"Les informations personnelles que vous fournissez pour l'un de nos services sont susceptibles d’être recoupées avec celles issues d'autres services Google (y compris des informations personnelles)

Les informations issu du produit Google Analytics (qui permet aux entreprises et aux propriétaires de sites d'analyser le trafic sur leurs sites Web et sur leurs applications) sont associées, à l'aide de la technologie Google, aux informations relatives aux visites sur plusieurs sites.

Le recoupement d'informations en provenance de cookies DoubleClick avec des informations permettant de vous identifier n'est possible qu'avec votre accord explicite.
Nous sommes susceptibles d'associer les identifiants de votre appareil ou votre numéro de téléphone à votre compte Google";;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;;;"Cette clause manque de clarté quant aux informations mises en relation, cependant, on peut en déduire ceci : les données collectées aux fins statistiques et d’amélioration du Service sont mises en relation avec l’ensemble des données recueillies auprès des utilisateurs.

Que ceci est confirmé par :
« (…) Nous pourrons aussi combiner certaines données avec d’autres afin qu’elles ne puissent plus être associées avec vous, et partager ces données agrégées. »";;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;;"« Blizzard se réserve le droit de collecter des données à caractère « non-personnel » lors de votre connexion au Service afin d’en tirer certaines statistiques démographiques concernant les usagers (…) »

Il est dit dans cette clause que des données non personnelles peuvent être recueillies à des fins d’utilisation statistique, or on a vu plus haut (cf. finalité de la réutilisation des données personnelles collectées) que des données personnelles peuvent elles-mêmes servir à cette finalité. On pourrait en déduire, manque de précision des CGU à l’appui, que ces données personnelles et ces données non personnelles sont agrégées pour en tirer, à minima, des informations statistiques sur l’utilisation [du Service fourni par Bllizzard] par les utilisateurs.";;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;
Dofus-Ankama;;;;L’utilisateur est informé en cas de cessation d’activités mais il n’est pas dit dans le CGU le sort des données personnelles.  « Ankama fournit les Services tant qu'ils sont édités. Ankama se réserve par conséquent le droit de cesser d'éditer les Services et par conséquent d'interrompre les Services définitivement, Vous en serez alors averti par tous moyens. Ankama pourra également interrompre définitivement les Services en cas de cessation d'activité. »;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec; Pas d'agrégation, possiblité qu'il y ait aucune agrégation de données personnelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Données d’identité;Uniquement pour et pendant la fourniture du service et pendant l’exécution du contrat;Opt-in préalable pour communicabilité des données d’identification à des tiers (mots de passe...);Communicabilité des données d’identification (nom, prenom...) à des tiers (hors autorité);;;;;;;;;;;;;;;;;;;;;;;;;;
Vine;;;Vine transfert les informations personnelles ( dont données d'identité) aux États unis et/ou autres États, ainsi qu'a des tiers partenaires fournisseurs de services.;;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;"You provide certain Personally Identifiable Information, such as your mobile phone number, push notification name (if applicable), billing information (if applicable) and mobile device information to WhatsApp when choosing to participate in various uses of the WhatsApp Service, such as registering as a user, updating your status or requesting status for your contacts. In order to provide the WhatsApp Service, WhatsApp will periodically access your address book or contact list on your mobile phone to locate the mobile phone numbers of other WhatsApp users (“in-network” numbers), or otherwise categorize other mobile phone numbers as “out-network” numbers, which are stored as one-way irreversibly hashed values.
Vous fournissez certaines informations personnelles identifiables, comme votre numéro de téléphone mobile, notification (le cas échéant), informations de facturation (le cas échéant) et l'appareil mobile d'informations à WhatsApp lorsque vous choisissez de participer à diverses utilisations du service WhatsApp, telles que l'enregistrement comme un utilisateur, la mise à jour votre statut ou demander le statut de vos contacts. Afin de fournir le service WhatsApp, WhatsApp accède périodiquement à votre carnet d'adresses ou liste de contacts sur votre téléphone mobile pour localiser les numéros de téléphone mobile d'autres utilisateurs WhatsApp (numéros «en réseau»), ou classer autrement d'autres numéros de téléphone mobile comme ""numéros hors-réseau "", qui sont stockés comme un sens des valeurs irréversible hachés.";-;-;;;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;;"Anonymisation identitaire dans certains cas de transfert de données agrégées ni privée ni personnelles +
“Si vous connectez votre compte Twitter à un compte d’un autre service afin de faire des envois croisés, ledit service pourra nous communiquer vos informations de profil, de connexion, ainsi que toute autre information dont vous avez autorisé la divulgation.”
Mais anonymisation si transfert de certaines informations 
« nous pouvons être amenés à partager et divulguer vos informations agrégées, autres que privées ou personnelles, telles que les informations de votre profil public, vos Tweets publics, les personnes que vous suivez ou qui vous suivent et le nombre d’utilisateurs qui ont cliqué sur un lien particulier (même si une seule personne l’a fait), ainsi que dans les rapports fournis aux annonceurs concernant les utilisateurs uniques ayant vu leurs annonces ou cliqué sur celles-ci, et ce, après avoir supprimé toute information personnelle et privée (telle que votre nom ou vos coordonnées). »";;;;;;;;;;;;;;;;;;;;;;;;;;;
Snapchat;;;Snapchat se réserve le droit de communiquer des données personnelles à ses prestataires de services et à ses  partenaires commerciaux dans l’optique de fournir les services et fonctionnalités attendus par les utilisateurs (...);;;;;;;;;;;;;;;;;;;;;;;;;;
Groupe LinkedIn;;;« Nous ne communiquons pas vos données personnelles non publiques (comme votre adresse e-mail) à des tiers sans votre consentement »;;;;;;;;;;;;;;;;;;;;;;;;;;
Tumblr;.;;"""We may share or disclose non-private information, Aggregate Information,
 or other non-personally identifying information with people and 
entities that we do business with"".";;;;;;;;;;;;;;;;;;;;;;;;;;
MEDIUM;Uniquement pour et pendant la fourniture du service et pendant l’exécution du contrat;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Couchsurfing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blablacar;;"""Conforme?ment aux dispositions de la norme simplifie?e n°48, ont seuls acce?s a? vos donne?es personnelles les salarie?s et prestataires de service de Comuto, dont la ta?che consiste a? faire fonctionner le site ou a? rendre le service.""
+
""Conformément aux dispositions de la norme simplifiée n°48, Comuto se réserve le droit de transmettre tout ou partie des données personnelles concernant les Membres dans le strict respect de la norme simplifiée n°48 et de la loi « Informatique et Libertés » du 6 Août 2004.?Tout usage de données personnelles autre que celui indiqué ci-dessus devra faire l'objet d'un consentement individuel, préalable et explicite de la part des Membres. Conformément à la loi n°78-17 du 6 janvier 1978, Comuto recueillera l'accord des Membres pour toute transmission de ses données à des partenaires commerciaux pour des opérations de marketing direct au moyen d'une case à cocher.""
+
Art. 6 de la norme simplifiée n°48 : 
""Il doit également être prévu : 
b) la possibilité de permettre à la personne concernée de s’opposer de manière simple et dénuée d’ambiguïté, dans les cas suivants :
la cession à des partenaires  de données relatives à l’identité (à l’exclusion du code interne de traitement permettant l’identification du client) ainsi que les informations relatives à la situation familiale, économique et financière  visées à l’article 3-d, dès lors que les organismes destinataires s’engagent à ne les exploiter que pour s’adresser directement aux intéressés, pour des finalités exclusivement commerciales.""";;;;;;;;;;;;;;;;;;;;;;;;;;;
Steam;;;"« Les « informations personnelles » sont des informations permettant d'identifier un utilisateur, telles que son nom, son adresse ou le numéro de sa carte de crédit. Vous pouvez être invité à communiquer des informations personnelles en utilisant les produits, services et sites en ligne de Valve.»
+
« Les sites Web et entreprises externes offrant des liens vers ou depuis les produits et sites en ligne de Valve peuvent collecter les informations personnelles des utilisateurs. Les éditeurs tiers peuvent également faire de la collecte des informations personnelles une obligation pour accéder à leurs jeux ou contenus. »";;;;;;;;;;;;;;;;;;;;;;;;;;
Viber;Divulgation des informations d’identification uniquement pour fournir les services et qui ont convenu de nepas les divulguer à des iters;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACEBOOK;;;"(Dans terms)  ""You give us permission to use your name, profile picture,
 content, and information in connection with commercial, sponsored, or 
related content (such as a brand you like) served or enhanced by us. 
This means, for example, that you permit a business or other entity to 
pay us to display your name and/or profile picture with content of 
information, we will respect your choice when we use it""      Encore une fois on peut voir sur cette même clause que le nom est donné. Bien qu'il s'agisse de l'identifiant et qu'il puisse être un pseudo, il est souvent le vrai prénom et nom de l'utilisateur.                 Dans 'data policy' ils indiquent 'nous ne partageons pas les informations qui permettent de vous identifier personnellement (...) à moins d'obtenir votre autorisation"". autorisation que l'on fournit en utilisant facebook.";;;;;;;;;;;;;;;;;;;;;;;;;;
Viadeo;« Nous faisons appel à certaines tierces parties de confiance pour exécuter certaines opérations et nous fournir certaines prestations de services. Nous sommes susceptibles de communiquer vos informations personnelles à ces tierces parties, uniquement dans la mesure où cela est nécessaire à l’exécution de ces opérations et à la fourniture de ces prestations de services et seulement en vertu des obligations incluant les protections prévues dans la présente politique de confidentialité. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skype;;« Nous partagerons vos informations personnelles avec des tiers avec votre consentement. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
Google ;;;"Nous sommes susceptibles d’utiliser le nom fourni dans votre Profil Google dans tous nos services qui requièrent l’utilisation d’un Compte Google. Nous pouvons également être amenés à remplacer d’anciens noms associés à votre Compte Google, afin que vous soyez présenté de manière cohérente à travers l’ensemble de nos services.

 Si d’autres utilisateurs disposent déjà de votre adresse e-mail, ou de toute autre donnée permettant de vous identifier, nous sommes susceptibles de leur montrer les données de votre Profil Google disponibles publiquement, telles que votre nom et votre photo.

Si vous disposez d'un compte Google, nous pouvons afficher le nom et la photo de votre profil, et les actions que vous effectuez sur Google ou sur des applications tierces connectées à votre compte Google

Etant donné que Google peut afficher le nom et la photo sur des applications tierce, le choix de la Licence +++ semble plus adapté. De plus google à la possibilité de communiquer notre profil à d'autres utilisateurs. ";;;;;;;;;;;;;;;;;;;;;;;;;;
Instagram;;"« Nous nous engageons à ne pas louer ni vendre vos données personnelles à des tiers externes à Instagram (ou au groupe de sociétés dont Instagram fait partie) sans votre consentement (…)» « Vous pouvez choisir, à votre entière discrétion et à vos propres risques, d’utiliser une application qui connecte le Service ou votre profil sur le Service à un service tiers (ci-après appelée une « Application »). Dans ce cas, cette Application est susceptible d’interagir avec votre profil sur le Service, de se connecter à lui, de prélever des informations sur lui ou d’y déposer des données. En utilisant de telles Applications, vous reconnaissez et acceptez les points suivants : (i) si vous utilisez une Application pour partager des informations, vous consentez à ce que des données concernant votre profil sur le Service soient partagées ; (ii) votre utilisation d’une Application peut entraîner la divulgation d’informations permettant de vous identifier personnellement ou leur association avec vous, même si la société Instagram n’a pas fourni ces informations elle-même ; et (iii) vous utilisez les Applications de votre plein gré et à vos propres risques et vous dégagez la responsabilité des Parties Instagram (telles que définies plus bas) en cas de problème afférent aux activités liées aux Applications. »";;;;;;;;;;;;;;;;;;;;;;;;;;;
Blizzard, Battle.net;;En tout état de cause, il est précisé que la communication des données à des tiers [autre que les partenaires du groupe de sociétés appartenant à Blizzard, pour lesquels le transfert se fait sans accord] est soumise à autorisation/acceptation de l’usager du Service. La possibilité est offerte de faire communiquer son compte utilisateur avec un compte Facebook.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinterest;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;
Dofus-Ankama;n/a;n/a;"Le MEMBRE
  est avisé que dans tous ces cas, (falsification de données, publications de
  propos injurieux…) BOURSORAMA fournira, sur demande d'une autorité
  judiciaire, tous les renseignements permettant ou facilitant l'identification
  du MEMBRE ainsi que les adresses IP et horaires de connexion si ceux-ci sont
  encore en sa possession.";;;;;;;;;;;;;;;;;;;;;;;;;;
Adopte un mec;;Les informations ainsi collecte?es sont destine?es a? e?tre utilise?es exclusivement par AdopteUnMec et ses prestataires. Toute diffusion a? des tiers des donne?es personnelles recueillies sur les Utilisateurs fera l'objet d'une demande expresse et pre?alable.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identifiants électroniques;Uniquement pour et pendant la fourniture du service et pendant l’exécution du contrat;Fusion des identifiants plusieurs services de l’entreprise/ transmission à des tiers pour fusion des identifiants ou recherche d’amis présents;Agrégation des identifiants avec tiers / utilisation des comptes de messagerie;;;;;;;;;;;;;;;;;;;;;;;;;;
Vine;;;Vine permet de se connecter via d'autres sites (ex: Twitter, Facebook, ..), et d'importer son carnet d'adresse. Vine va alors agréger les données avec celles des autres utilisateurs de Vine, pour améliorer le service, en éditant ses recommandations. L'on peut toutefois supprimer à tout moment les données de répertoire dans les réglages (opt in), ainsi que déconnecter un compte. De même, la déconnexion du compte ne permet plus à Vine de publier en notre nom, ni d'accéder aux comptes reliés, et entraine la suppression des données issues de la connexion (Mais Vine précise que cette suppression peut prendre du temps, sans plus de précision).;;;;;;;;;;;;;;;;;;;;;;;;;;
Whatsapp;"In order to provide the WhatsApp Service, WhatsApp will periodically access your address book or contact list on your mobile phone to locate the mobile phone numbers of other WhatsApp users (“in-network” numbers), or otherwise categorize other mobile phone numbers as “out-network” numbers, which are stored as one-way irreversibly hashed values.
WhatsApp does not collect names, emails, addresses or other contact information from its users’ mobile address book or contact lists other than mobile phone numbers.
Afin de fournir le service WhatsApp, WhatsApp accède périodiquement à votre carnet d'adresses ou liste de contacts sur votre téléphone mobile pour localiser les numéros de téléphone mobile d'autres utilisateurs WhatsApp (numéros «en réseau»), ou classer autrement d'autres numéros de téléphone mobile comme ""numéros hors-réseau "", qui sont stockés comme un sens des valeurs irréversible hachés.
WhatsApp ne recueille pas de noms, emails, adresses ou autres informations de contact de l'adresse mobiles Réserver ou Contacter les listes de ses utilisateurs autres que les numéros de téléphone mobile";-;-;;;;;;;;;;;;;;;;;;;;;;;;;;
Twitter;;Recherche de relations présentes par connexion par adresse mail ou services : « Nous pourrons utiliser vos informations de contact pour permettre à d’autres personnes de trouver votre compte Twitter, notamment via des services tiers et des applications clientes. » + « Vous pouvez télécharger votre carnet d’adresses afin que nous soyons en mesure de vous aider à trouver des connaissances sur Twitter ou pour permettre à d’autres utilisateurs de Twitter de vous trouver. Nous pourrons vous proposer des suggestions à vous et à d’autres utilisateurs sur Twitter à partir des contacts importés de votre carnet d’adresses. »;;;;;;;;;;;;;;;;;;;;;;;;;;;
