;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;;;;Pas d'informations en ce sens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;;;Pas d'information communiquée en ce sens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;;"Une information est prévue en cas de fusion cependant Ebay évoque seulement une information ""préalable"" sans donner plus de détail : 
""Les autres entités commerciales, au cas où nous envisagerions 
une fusion avec l'une d'entre elles ou une acquisition par l'une d'elles. 
Dans pareil cas, la nouvelle entité combinée devra se soumettre aux 
dispositions du présent Avis sur le respect de la vie privée concernant 
vos informations personnelles. Si vos informations personnelles doivent 
être utilisées ou divulguées pour d'autres raisons que celles exposées 
dans le présent Avis, vous en serez averti au préalable"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;;;"Aucune précision quant à l'existence d'une information préalable en cas de fusion : 
""Nous pouvons divulguer vos informations personnelles à n’importe quelle société appartenant à notre groupe. Nous pouvons aussi divulguer ces informations à des tiers : (...)                                      
  - dans le cas où ASOS, ou la quasi-totalité de ses actifs, seraient acquis par un tiers. Dans ce cas, les données personnelles sur nos clients pourraient constituer l’un des actifs transférés""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;;;"""Nous pouvons aussi partager les informations vous concernant dans le cadre d’une transaction commerciale, comme un désinvestissement, une fusion, une consolidation, ou une cession d’actifs ou dans le cas improbable d’une cessation de paiement.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;;;;Proposition d'une Licence 0  :  Aucune précision sur la communication des données personnelles à des tiers en cas de fusion. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;;We may buy or sell/divest/transfer the company (including any shares in the company), or any combination of its products, services, assets and/or businesses. Your information such as customer names and email addresses, User Content, and other User information related to the Service will likely be among the items transferred in these types of transactions. We may also transfer or assign such information in the course of corporate divestitures, mergers, acquisitions, bankruptcies, dissolutions or similar transactions or proceedings. We may also sell, assign or otherwise transfer such information in the course of corporate divestitures, mergers, acquisitions, bankruptcies, dissolutions, reorganizations, liquidations, similar transactions or proceedings involving all or a portion of the company.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;;"Aucune remarque quant à une information préalable, donc on suppose l’absence d’information :
« Si KAYAK même (ou une partie de sa compagnie) est vendue ou change d'autorité de contrôle, les nouveaux propriétaires d’entreprise auront accès à vos données personnelles pour les utilisations mentionnées par la présente »";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;;"""En cas de restructuration, de fusion ou de vente"" Apple affirme explicitement qu'il y a transfert de toutes informations personnelles collectées au tiers concerné.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;;;Information Disclosed in Connection with Business Transactions. Information that we collect from our Users, including PII, is considered to be a business asset. If we become part of another organization, including without limitation, by merger, change of control, sale of assets, or other acquisition, go out of business or enter bankruptcy, your PII may be disclosed or transferred to a third-party acquirer in connection with the transaction.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;;;Il n’y a pas d’information à ce sujet dans les CGU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;« Lorsque vous choisissez de communiquer vos données à caractère personnel, vous donnez expressément votre consentement pour la collecte et l’utilisation de celles-ci conformément à ce qui est énoncé à la présente charte et à la législation en vigueur. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;;;Comme toute autre société, PayPal peut être amenée à fusionner avec une autre société ou être rachetée. En cas d'acquisition ou de fusion, vous acceptez que le successeur ait accès aux informations détenues par PayPal, y compris les informations sur les comptes des utilisateurs, mais il est toujours lié par le présent Règlement sur le respect de la vie privée, sauf modification particulière.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Pas d'information à ce sujet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finalité de la réutilisation des données personnelles collectées;Pour finalité statistique et la facturation;Pour fournir le service et les offres adaptées;Pour les collecter, les utiliser, les agréger, les transférer, les divulguer à quelque fin que se soit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente privée;;Les Données seront utilisées par nos services internes (...) dans le but de mieux comprendre nos Membres et leur utilisation de notre Site et Applications et ainsi modifier notre Site et Applications en fonction de vos besoins. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;;Les données personnelles sont utilisées en majeure partie pour le bon fonctionnement du site et pour réaliser les prestations de services auprès des utilisateurs. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;;Les données sont utilisées pour l’exécution des prestations et pour l’amélioration des services proposés par le site. Les données peuvent aussi être utilisées pour permettre à des “parties tierces de fournir des fonctions techniques, logistiques ou autres pour notre compte”.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;;"Nous utilisons vos données personnelles pour :

vous permettre d’utiliser nos services ;
vous informer sur les services pour lesquels vous avez exprimé un intérêt et qui vous sont proposés sur notre Site ;
vous proposer de participer à des jeux ou des concours ;
vous proposer des offres publicitaires et des informations sur notre Site en rapport avec vos centres d’intérêt et, éventuellement, avec votre localisation.
Le cas échéant, nous pourrons transmettre vos données à nos partenaires qui sont susceptibles de les utiliser à des fins de prospection commerciale, sous réserve que vous nous y ayez explicitement consenti. Vous restez libre de retirer ce consentement à tout moment.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo resto;;"“Pour la commercialisation de services qui peuvent être d'intérêt pour vous”
Notons tout de même la subjectivité de l”interet”";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;;Nous nous servons de ces renseignements pour Vous proposer nos produits et services ainsi que les produits et services de nos partenaires soigneusement sélectionnés, pour mettre au point de nouveaux produits et services, pour mieux personnaliser les fonctionnalités, la performance et l'assistance de nos produits et services, et afin de Vous offrir des informations et opportunités supplémentaires. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;"""Nous pouvons partager les données de recherches rendues anonymes avec certains tiers à des fins d'études.""";"""Microsoft utilise les informations que nous collectons pour faire fonctionner, améliorer et personnaliser les produits et les services que nous offrons"" ""Nous utilisons également les informations que nous recueillons pour gérer et améliorer la qualité, la sécurité et l'intégrité de nos services."" ""Microsoft Advertising peut utiliser toutes ou une partie des informations mentionnées dans la section Collecte de vos informations personnelles pour publier les annonces publicitaires les plus adaptées à vos préférences sur nos sites et ceux de nos partenaires de publicité, et pour améliorer et suivre le fonctionnement de nos services de publicité et de qualité et ceux de nos partenaires de publicité"" ""lorsque des publicités en ligne sont affichées sur votre écran, un cookie persistant sera placé sur votre ordinateur afin de le reconnaître à chaque fois qu'une publicité s'affiche sur votre écran. En affichant nos annonces publicitaires et celles de nos partenaires de publicité et de publication sur nos sites Web, nous pouvons, au fil du temps, collecter des informations sur les types de pages, de contenus et d'annonces publicitaires que vous, ou d'autres personnes qui utilisent votre ordinateur, ont visités ou consultés. Nous utilisons ces informations à plusieurs fins, elles nous permettent, par exemple, d'essayer d'éviter que vous soyez toujours exposé aux mêmes annonces publicitaires."" ""
Nous utilisons les informations démographiques – sexe, pays, âge et code postal, mais pas vos nom ou informations de contact – figurant dans votre compte Microsoft pour vous proposer des publicités personnalisées.";"""Enfin, nous sommes susceptibles d'accéder à des informations vous concernant ou de les divulguer, y compris tout contenu privé (tel que le contenu de vos emails, d'autres communications privées ou des fichiers de dossier privés), lorsque nous pensons de bonne foi qu'il est nécessaire de le faire "" ""nous pouvons partager ou divulguer des renseignements personnels avec d'autres filiales et des affiliés de Microsoft, et avec les fournisseurs ou les agents qui travaillent en notre nom"" ""Lorsque vous cliquez sur un résultat de recherche ou une publicité d'une page de résultats de recherche Bing, le site web de destination recevra les informations standard que votre navigateur envoie à chaque site web que vous visitez - tel que l'adresse IP, le type et la langue de navigateur, et l'URL du site de provenance (dans ce cas, la page de résultats de recherche Bing). Comme l'URL des résultats de recherche contient le texte de la requête de recherche que vous avez saisie (pouvant inclure les noms, adresses ou les autres informations d'identification que vous avez saisies), le site web de destination sera en mesure de déterminer le terme de la recherche que vous avez saisi"".";Bonne foi = loi, judiciaire, protection clients, protection services, protéger droits ou propriété de Microsoft;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LastPass;;Pour « des statistiques globales » et « pour personnaliser les publicités sur son site à ses utilisateurs »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung;;"Plusieurs cas de traitements des DP : pour l’exploitation/gestion du site ; le marketing direct ; le traitement des commandes ; le profilage des clients";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;;Traitement des DP pour l’exécution des prestations et pour la fourniture d’offres adaptées à chaque utilisateur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;"""Les données collectées sont destinées à l'usage de la société Rue du 
Commerce. Elles sont nécessaires au traitement et à la gestion de vos 
Commandes ainsi qu'aux relations commerciales entre la société Rue du 
Commerce SAS et vous.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;;La société booking.com collecte, utilise et partage nos données pour la gestion des réservations, du service client, des commentaires clients, de l’administration du compte mais également à des fins de marketing (offres personnalisées), d’étude de marchés et d’amélioration du service.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;;"""La collecte de vos informations personnelles vise à vous permettre 
d'accéder à nos sites et/ou d'utiliser nos services, applications et 
outils, d'accéder au service clients  en cas de sollicitation de votre 
part et aux informations pertinentes sur votre compte et nos services, 
et à vous proposer une expérience à la fois sûre, agréable, efficace et 
personnalisée"". ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;;"""Ces informations sont collectées pour nous permettre de traiter les 
commandes, de communiquer avec vous à propos de vos commandes et de 
votre compte, pour gérer nos dossiers, améliorer nos sites, prévenir et 
détecter la fraude et permettre à des tiers de fournir des prestations 
techniques, logistiques ou autres pour notre compte.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;"Utilisation des DP des utilisateurs non inscrits pour assurer le suivi des statistiques d'utilisation : ""Si vous ne vous inscrivez pas, nous ne collecterons alors que des informations limitées à votre sujet. Nous enregistrons votre adresse IP pour que vous puissiez bénéficier d’une aide en matière de diagnostic sur les problèmes rencontrés par notre serveur, pour administrer notre Site et pour assurer le suivi des statistiques d’utilisation.""";Utilisation des données personnelles pour permettre à chaque utilisateur de personnaliser son utilisation du site comme il l'entend, afin que le site devienne pour chacun le plus utile possible.;"Utilisation des données personnelles pour :      - communiquer aux utilisateurs des nouvelles, informations importantes, messages d'autres utilisateurs, demandes d'avis sur le site, bulletins périodiques etc.                                                                           - communiquer aux utilisateurs (avec leur consentement) des offres spéciales ou opportunités existants chez les partenaires de TripAdvisor                                                             - présenter des publicités                                     - communication à la société mère aux Etats-Unis et aux sociétés soeurs et filiales pour ""fournir"" aux utilisateurs ""une gamme complète de formules de voyages et de services correspondant à vos besoins en matière de voyages";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;Réutilisation à des fins statistiques (données aggrégées et anonymisées) et de facturation (service payant).;Utilisation des données personnelles pour fournir le service et les offres adaptées : permettre aux utilisateurs de rechercher des conducteurs à proximité de leur localisation, arranger un point de rendez-vous, l'envoyer au conducteur et voir le conducteur arriver sur une carte. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;"We use or may use the data collected through cookies, log file, device identifiers, location data and clear gifs information to: (a) remember information so that you will not have to re-enter it during your visit or the next time you visit the site; (b) provide custom, personalized content and information; (c) to provide and monitor the effectiveness of our Service; (d) monitor aggregate metrics such as total number of visitors, traffic, and demographic patterns; (e) diagnose or fix technology problems; (f) help you efficiently access your information after you sign in; and (h) track User Content and Users to the extent necessary to comply as a service provider with the Digital Millennium Copyright Act; and (i) to provide advertising to your browser or device.
VSCO will disclose your information where required to do so by law or subpoena or if we reasonably believe that such action is necessary to (a) comply with the law and the reasonable requests of law enforcement; (b) to enforce our Terms of Use, or to protect the security or integrity of our Service; and/or (c) to exercise or protect the rights, property, or personal safety of VSCO, our Users or others. 

We use this information (metadata) to operate, maintain, and provide to you the features and functionality of the Service. We may also use this information to communicate directly with you. We may send you emails containing newsletters, promotions and special offers. If you do not want to receive such email messages, you will be given the option to opt out or change your preferences. We also use your information to send you Service-related emails (e.g., account verification, purchase and billing confirmations and reminders, changes/updates to features of the Service, technical and security notices). You may not opt out of Service-related e-mails.

Analytics information — We may directly collect analytics data, or use third-party analytics tools to help us measure traffic and usage trends for the Service. These tools collect information sent by your browser as part of a web page request, including the web pages you visit, your browser add-ons, your browser’s width and height, and other information that assists us in improving the Service. We may collect and use this analytics information in aggregate form such that it cannot reasonably be manipulated to identify any particular individual user.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;"« Nous ou nos fournisseurs de services tiers utilisons des cookies à des fins analytiques. Cela nous permet de recueillir des informations cumulées ou segmentées sur les types de visiteurs qui accèdent à nos plateformes et les pages et publicités affichées. Nous n'utilisons pas ces informations dans le but de vous identifier personnellement. »

« Nous pouvons également utiliser Google Analytics pour recueillir des données démographiques vous concernant (comme l'âge, le sexe, et vos intérêts), notamment par le biais de Google Analytics Demographics et Interest Reporting. »

« Afin de traiter vos réservations. »";"Afin d’améliorer nos Plateformes et les services que nous fournissons, mieux comprendre les utilisateurs des Plateformes et services, protéger notre propriété et prévenir tout dommage

Afin d’afficher des publicités et recommandations pertinentes, ou supprimer les publicités et contenus que vous pourriez ne pas trouver pertinents.

Afin de vous contacter :
«  Pour vous envoyer des emails publicitaires provenant d’une adresse KAYAK concernant nos services ou ceux de nos partenaires, si vous avez préalablement accepté de recevoir des emails de notre part ou avez effectué une transaction avec KAYAK, en accord avec la Loi. »";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;"Cinq finalités explicitement décrites:               1)""faire bénéficier des dernières annonces produits, mises à jour logicielles et évènements Apple à venir."" Possibilité de opt-out de cette liste de diffusion.             2)""aider à créer, développer, utiliser, livrer et améliorer les produits, services, contenus et publicités et à des fins de prévention des pertes et de lutte contre la fraude.           3)""vérifier l'identité, identifier les utilisateurs et déterminer les services appropriés. Ex de la date de naissance pour déterminer l'âge du détenteur de l'identifiant Apple.                       4) ""envoyer des notifications importantes telles que des communications sur les achats et les modifications des conditions et chartes."" Pas de possibilité de opt-out.                                    5) ""à des fins internes, pour les audits, analyses de données et recherches pour améliorer les produits, services et communications clients d'Apple."" La liste est non exhaustive... Les données à caractère non-personnel ""dont la forme ne permet pas de faire un rapprochement direct avec une personne en particulier"" sont ""collectées,utilisées,transférées et divulguées à quelque fin que ce soit"". ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;;"Our primary goals in collecting information are to provide and improve our Services, to administer your use of the Services (including your Account (as defined below) if you are an Account holder), and to enable you to enjoy and easily navigate our Services.

We use your PII to help customize advertising and content available on the DeviantArt Sites, to send you information about products and services that may be of interest to you and/or to conduct research for internal purposes.

We use this information to administer the Services and we analyze (and may engage third parties to analyze) this information to improve and enhance the Services by expanding their features and functionality and tailoring them to our Users' needs and preferences, and to make recommendations.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;;"GO Voyages est amené à vous demander des informations personnelles, certaines sont obligatoires car indispensables au traitement de vos commandes, d'autres sont facultatives. Ces informations, à caractère non obligatoire, sont collectées dans le but de mieux vous satisfaire en répondant de manière plus personnalisée à vos attentes

les informations personnelles fournies à GO Voyages pour le traitement de votre commande, sont également communiquées au service des douanes et de la protection des frontières (Customs and Border Protection) pour des impératifs de sécurité";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;"« Gérer votre accès aux services accessibles sur l’Application et leur utilisation, ainsi que le suivi de la relation avec les utilisateurs : Constituer un fichier de membres inscrits, d’utilisateurs, de clients et prospects, Adresser des newsletters, sollicitations et messages promotionnels. Dans le cas où vous ne le souhaiteriez pas, nous vous donnons la faculté de cocher une case exprimant votre refus à ce sujet lors de la collecte de vos données; Élaborer des statistiques commerciales et de fréquentation de nos services, Organiser des jeux concours, loteries et toutes opérations promotionnelles à l’exclusion des jeux d’argent et de hasard en ligne soumis à l’agrément de l’Autorité de Régulation des Jeux en ligne, Gérer la gestion des avis des personnes sur des produits, services ou contenus, Gérer les impayés et les contentieux éventuels quant à l’utilisation de nos produits et services, Respecter nos obligations légales et réglementaires. »";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;;Ces données sont destinées à BOURSORAMA, aux personnes morales de son groupe et à ses partenaires et sous-traitants. Elles sont utilisées aux fins de fourniture et de gestion des Services et de sollicitations commerciales proposés aux MEMBRES. ;Le MEMBRE est en outre avisé que les données non nominatives saisies dans le formulaire d'inscription pourront être utilisées et/ou commercialisées par BOURSORAMA afin de mieux cibler les offres publicitaires émanant de tiers ou de BOURSORAMA, notamment en lui proposant des bandeaux publicitaires adaptés à ses centres d’intérêts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;;Paypal présente un tableur complet indiquant pour chaque tiers, la finalité poursuivit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;;Elles [Les données personnelles]  ne seront utilise?es que pour renforcer et personnaliser la communication notamment par des courriers e?lectroniques d’information.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agrégation des données;Pas d’agrégation;Agrégation DP avec données non personnelles;Agrégation avec l’ensemble des DP disponibles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vente privée;Il n'est pas fait mention d'agrégation dans les CGU. Il est donc possible d'imaginer que le service ne procède à aucune agrégation des DP. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airbnb;Agrégation de données non personnelles (combinaison d'informations relatives à tous les utilisateurs ou à des groupes d'utilisateurs). Ces informations non personnelles peuvent être publiées, divulguées et utilisées à des fins d'analyse du secteur, de profilage démographique, à des fins marketing et publicitaires et à d'autres fis commerciales. ;;Le site airbnb permet de se connecter à partir d'un site tiers (type : Facebook ou Google +) : en ce cas, airbnb obtient les données personnelles divulguées sur ce site tiers, dans les limites que l'utilisateur a fixé dans les paramètres de confidentialité de ce site tiers. ;Dans le cas de la connexion à airbnb via un site tiers comme FB, la politique de confidentialité d'airbnb n'est pas claire sur l'agrégation ou non des données personnelles ainsi recueillies avec celles divulguées par les utilisateurs directement sur le site. Néanmoins, cette agrégation est fortement probable. Idée : intégrer une obligation d'informer dans les politiques de confidentialité de ce qu'il advient des données personnelles obtenues lors d'une connexion au site via un site tiers ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazon;;Rubrique “Informations issues d’autres sources”: Amazon peut utiliser des informations provenant des transporteurs ou parties tierces mais aussi d’une filiale (Alexa Internet) proposant un service de recherche et d’agences de renseignements commerciaux.;Agrégation de façon anonyme des données de différents clients portant sur les commandes effectuées pour, par exemple, établir une liste “nos meilleures ventes”;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mappy;Il n'est pas fait mention d'agrégation dans les CGU. Il est donc possible d'imaginer que le service ne procède à aucune agrégation des DP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allo Resto;;;Le site Allo Resto permet de se connecter à partir d'un site tiers (type : Facebook ou Google +) : en ce cas, airbnb obtient les données personnelles divulguées sur ce site tiers, dans les limites que l'utilisateur a fixé dans les paramètres de confidentialité de ce site tiers. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tom Tom;Pas d'agrégation, possiblité qu'il y ait aucune agrégation de données personnelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsoft;;;""" Nous pouvons également obtenir des informations auprès d'autres sociétés."" ""Certaines de ces informations nous sont fournies par vous directement. Certaines d'entre elles sont obtenues en observant comment vous interagissez avec nos produits et services. D'autres sont disponibles à partir de sources diverses ; elles sont combinées avec les informations que nous recueillons directement. Quelle qu'en soit la source..."" ""les informations collectées via un service Microsoft donné peuvent être associées à d'autres informations obtenues via d'autres services Microsoft. Nous pouvons également ajouter aux informations que nous collectons d'autres obtenues auprès d'autres sociétés."" """"Bing offre des services de recherche pour sélectionner certains partenaires et leurs utilisateurs. Par exemple, Yahoo! et Nokia. Afin d'offrir ces services, les services Bing reçoivent de la part de ces partenaires certaines informations afférentes aux recherches comme la date, l'heure, l'adresse IP, un identificateur unique et d'autres données liées aux recherches."" ""on peut obtenir des renseignements supplémentaires vous concernant, telles que des renseignements démographiques que nous achetons auprès d'autres sociétés. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBM;;;"""Dans certaines circonstances, nous pouvons être amenés à recueillir des informations à votre sujet auprès d'autres sources, par exemple, des fournisseurs de listes. Dans ce cas, nous demandons à ces fournisseurs de nous confirmer que ces informations ont été acquises dans le respect de la loi et que nous sommes autorisés à les détenir et à les utiliser. Nous pouvons combiner les informations que nous recueillons, directement ou indirectement, afin de les enrichir et de les rendre plus précises et pour nous aider à personnaliser nos interactions avec vous.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung;;;« Nous sommes susceptibles de grouper des informations vous concernant que nous recueillant par le biais de ce site avec des informations que vous nous communiquez par d’autres moyens ou qui nous sont fournies par des tiers. Nous pouvons stocker l’ensemble de ces informations dans une base de données unique ou dans des bases de données distinctes. »;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groupon;;;Agrégation via les DP se trouvant sur les réseaux sociaux. « En utilisant la fonction de connexion aux réseaux sociaux du site, vous nous autorisez à accéder à tous les éléments d’information de votre profil dont vous avez autorisé le partage et à les utiliser conformément aux CGU du réseau social et à la présente charte ».;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rue du commerce;;""" Vous pouvez être invités sur le Site à fournir des données 
personnelles qui vous concernent ou qui sont relatives à un tiers. Cette
 collecte de données s'effectue notamment :
           lorsque vous vous inscrivez à la newsletter, lorsque vous créez un compte, lorsque vous effectuez une Commande sur le Site, lorsque vous contactez le Service Client, lorsque vous naviguez sur le Site, lorsque vous partagez une page ou une offre avec un ami par envoi d'un e-mail, lorsque vous partagez une page ou une offre par l'intermédiaire d'un réseau social.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Booking;;Nous pouvons également vous permettre de vous identifier sur Booking.com grâce à vos comptes créés sur les réseaux sociaux. Dans ces cas-là, votre média social pourra vous informer sur l’usage et le traitement de vos données.Les informations que vous souhaitez partager avec nous peuvent comprendre : les informations de base déjà présentes sur votre profil du réseau social, votre adresse e-mail, vos mises à jour de statut et votre liste d’amis. Ces informations sont nécessaires pour créer une expérience utilisateur unique sur les applications ou sur le site Internet en lui-même. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eBay;;;"eBay se réserve le droit d'accès Nous proposons également des services vous permettant de partager des 
informations avec des sites de médias sociaux tiers tels que Facebook, 
Google Plus et Twitter.Vous pouvez décider de nous donner accès à 
certaines informations personnelles enregistrées sur ces sites tiers. 
Les informations personnelles auxquelles nous avons accès varient d'un 
site à l'autre et dépendent de vos paramètres de confidentialité 
associés aux sites concernés ainsi que de votre consentement. En 
associant à votre compte eBay un compte géré par une société tierce et 
en autorisant eBay à accéder aux informations enregistrées sur le site 
tiers concerné, vous consentez à ce que nous recueillions, utilisions et
 stockions lesdites informations conformément au présent Avis sur le 
respect de la vie privée.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asos;;;"""Lorsque vous vous connectez à ASOS en utilisant un compte sur un réseau social (par ex. Facebook ou Google+), nous recevons les informations de votre profil de base qui sont publiquement disponibles. Ces informations peuvent comprendre votre identifiant utilisé pour vous identifier par média social, vos noms, réseaux, (ou ""cercles"") et sexe. Selon la plateforme du réseau social que vous utilisez pour vous connecter, nous pouvons également recevoir votre adresse électronique, la liste de vos amis ou des personnes qui vous suivent et votre photo de profil et/ou photo de couverture.

Toute information personnelle reçue par ASOS de cette manière sera traitée conformément aux termes des présentes Règles de Confidentialité. Toute information collectée du fait de votre connexion via un réseau social sera utilisée pour les besoins des fonctionnalités et à des fins d'analyse du Site Internet. Aucune information obtenue du fait de votre connexion via un réseau social ne sera utilisée à des fins de marketing si ce n'est avec votre accord.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;;;"""Nous pouvons compiler les informations à caractère personnel de tous nos utilisateurs et fournir ces informations sous forme agrégée à des tiers, y compris à des annonceurs publicitaires, à des fins de marketing et de promotion. Dans ce cas, cependant, ces informations ne se présenteront pas sous une forme permettant à un tiers quelconque de vous identifier personnellement.""                                        Cas du partenariat avec Facebook : ""Facebook nous transmet les informations que vous avez choisies de rendre disponibles dans les paramètres de confidentialité de Facebook. Lesdites informations peuvent inclure votre nom, l'image de votre profil, votre sexe, vos listes d'amis et toute autre information que vous avez choisie de partager."" Possibilité de désactiver la personnalisation instantannée de Facebook. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;;;"Uber utilise vos données personnelles sous une forme
anonymisée et agrégée afin de d'évaluer quelles fonctionnalités du Service sont
les plus utilisées, analyser les schémas d'utilisation et déterminer comment
améliorer le Service. Les données de géolocalisation du conducteur sont
également anonymisées et agrégées à des fins statistiques et d'amélioration des
fonctionnalités du Service. 
""Uber uses your personal data in an anonymised and aggregated form to closely monitor which features of the Service are used most, to analyze usage patterns and to determine where we should offer or focus our Service. We may share this information with third parties for industry analysis and statistics. (...)                                                                                                                     We will also use the Driver's geo-location information in an anonymised and aggregated form in order to generate statistical information and management information and to provide you with increased App functionality. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;We may collect metadata associated with User Content. Metadata typically consists of how, when, where and by whom a piece of User Content was collected and how that content has been formatted. Users can add or may have added metadata added to their User Content including keywords posted with a photo or video, including names, geographical or location information, comments or other data. This makes your data more searchable and more interactive. However, the metadata may be accessible to others if you share the User Content with others or on third party social media sites.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;;"« Nous collectons vos informations au fil du temps et à travers divers sites internet lorsque vous visitez cette Plateforme. Nous utilisons par ailleurs des outils de traçage tels les cookies et beacons. »

« Nous collectons aussi vos données personnelles via les tiers partis. Par exemple lorsque vous vous connectez via une plateforme tierce, tel Facebook. »";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apple;;"En cas d'association de données non-personnelles à des données 
personnelles: ""ces données combinées seront traitées comme des données à
 caractère personnel tant qu'elles resteront associées.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;;"Information Shared with Advertisers. We may share aggregated information and non-identifying information that we collect with third party advertisers.
 
 Information Shared with Third Parties. We may share aggregated information and non-identifying information with third parties for industry analysis, demographic profiling and other similar purposes.";;La privacy de DeviantArt ne précise pas explicitement l’utilisation de donnée agrégée mais l’on peut déduire de ces clauses que, tout comme Skype, elle s’autorise à compléter et partager les données recueillis par des sites tiers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
